timestamp,yy,xx,value,type
1588978800,-60,0,-17,soilhumidity
1588978800,-60,30,-17,soilhumidity
1588978800,-60,60,-13,soilhumidity
1588978800,-60,90,-13,soilhumidity
1588978800,-40,0,-14,soilhumidity
1588978800,-40,30,-13,soilhumidity
1588978800,-40,60,-21,soilhumidity
1588978800,-40,90,-17,soilhumidity
1588978800,-20,0,-13,soilhumidity
1588978800,-20,30,-13,soilhumidity
1588978800,-20,60,-18,soilhumidity
1588978800,-20,90,-29,soilhumidity
1588982400,-60,0,-17,soilhumidity
1588982400,-60,30,-17,soilhumidity
1588982400,-60,60,-13,soilhumidity
1588982400,-60,90,-13,soilhumidity
1588982400,-40,0,-14,soilhumidity
1588982400,-40,30,-13,soilhumidity
1588982400,-40,60,-21,soilhumidity
1588982400,-40,90,-17,soilhumidity
1588982400,-20,0,-14,soilhumidity
1588982400,-20,30,-13,soilhumidity
1588982400,-20,60,-18,soilhumidity
1588982400,-20,90,-30,soilhumidity
1588986000,-60,0,-17,soilhumidity
1588986000,-60,30,-17,soilhumidity
1588986000,-60,60,-12,soilhumidity
1588986000,-60,90,-13,soilhumidity
1588986000,-40,0,-14,soilhumidity
1588986000,-40,30,-13,soilhumidity
1588986000,-40,60,-18,soilhumidity
1588986000,-40,90,-17,soilhumidity
1588986000,-20,0,-14,soilhumidity
1588986000,-20,30,-13,soilhumidity
1588986000,-20,60,-18,soilhumidity
1588986000,-20,90,-30,soilhumidity
1588989600,-60,0,-27,soilhumidity
1588989600,-60,30,-17,soilhumidity
1588989600,-60,60,-12,soilhumidity
1588989600,-60,90,-13,soilhumidity
1588989600,-40,0,-14,soilhumidity
1588989600,-40,30,-13,soilhumidity
1588989600,-40,60,-15,soilhumidity
1588989600,-40,90,-17,soilhumidity
1588989600,-20,0,-14,soilhumidity
1588989600,-20,30,-13,soilhumidity
1588989600,-20,60,-18,soilhumidity
1588989600,-20,90,-30,soilhumidity
1588993200,-60,0,-27,soilhumidity
