timestamp,value,type
1591696800,89.775,airhumidity
1591700400,84.775,airhumidity
1591704000,78.075,airhumidity
1591707600,75.85,airhumidity
1591711200,82.4,airhumidity
1591714800,81.625,airhumidity
1591718400,77.85,airhumidity
1591722000,74,airhumidity
1591725600,79.25,airhumidity
1591729200,85.375,airhumidity
1591732800,89.4,airhumidity
1591736400,87.95,airhumidity
1591740000,85.85,airhumidity
1591743600,90.9333333333333,airhumidity
1591747200,92.2,airhumidity
1591750800,93.2,airhumidity
1591754400,95.8,airhumidity
1591758000,95.6,airhumidity
1591761600,94.525,airhumidity
1591765200,95.35,airhumidity
1591768800,94.9,airhumidity
1591772400,87.125,airhumidity
1591776000,82.225,airhumidity
1591779600,78.8,airhumidity
1591783200,79.55,airhumidity
1591786800,71.525,airhumidity
1591790400,70.975,airhumidity
1591794000,71.2,airhumidity
1591797600,69.45,airhumidity
1591801200,64.275,airhumidity
1591804800,65.675,airhumidity
1591808400,68,airhumidity
1591812000,64.575,airhumidity
1591815600,60.95,airhumidity
1591819200,60.775,airhumidity
1591822800,65.725,airhumidity
1591826400,71.4,airhumidity
1591830000,78.6,airhumidity
1591833600,83.5,airhumidity
1591837200,91.95,airhumidity
1591840800,95,airhumidity
1591844400,92.2,airhumidity
1591848000,89.925,airhumidity
1591851600,94.65,airhumidity
1591855200,95.275,airhumidity
1591858800,87.6,airhumidity
1591862400,86.4,airhumidity
1591866000,85.575,airhumidity
1591869600,84.5,airhumidity
1591873200,79.175,airhumidity
1591876800,72.8,airhumidity
1591880400,70.225,airhumidity
1591884000,74.225,airhumidity
1591887600,81.8,airhumidity
1591891200,79.475,airhumidity
1591894800,72.475,airhumidity
1591898400,76.675,airhumidity
1591902000,83.525,airhumidity
1591905600,88.925,airhumidity
1591909200,86.225,airhumidity
1591912800,86.825,airhumidity
1591916400,91.3333333333333,airhumidity
1591920000,96.9,airhumidity
1591923600,97.55,airhumidity
1591927200,97.8,airhumidity
1591930800,97.3,airhumidity
1591934400,97.55,airhumidity
1591938000,98.35,airhumidity
1591941600,98.15,airhumidity
1591945200,92.55,airhumidity
1591948800,86.225,airhumidity
1591952400,84.725,airhumidity
1591956000,82.95,airhumidity
1591959600,72.425,airhumidity
1591963200,64.075,airhumidity
1591966800,61.85,airhumidity
1591970400,60.1,airhumidity
1591974000,57.675,airhumidity
1591977600,58,airhumidity
1591981200,57.875,airhumidity
1591984800,58.9,airhumidity
1591988400,63.325,airhumidity
1591992000,72.025,airhumidity
1591995600,76.325,airhumidity
1591999200,79.25,airhumidity
1592002800,82.1333333333333,airhumidity
1592006400,92,airhumidity
